epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.204,1.21321,2.50497,1.65701,0.53217,0.28678,0.28606,0.15335,1.4811,1.89378,2.17444,0.000277132,0.000277132,0.000277132
2,207.142,1.24327,1.87634,1.68302,0.5998,0.29959,0.31127,0.15282,1.56218,1.76388,2.23776,0.000543813,0.000543813,0.000543813
3,302.387,1.27153,1.75995,1.7043,0.48651,0.31054,0.25748,0.13921,1.56302,1.97506,2.25014,0.000799499,0.000799499,0.000799499
4,397.195,1.25244,1.68447,1.6945,0.66399,0.31318,0.35256,0.20381,1.44493,1.68516,2.0447,0.00078352,0.00078352,0.00078352
5,492.849,1.2178,1.61305,1.66521,0.53759,0.44501,0.45377,0.24388,1.49324,1.50852,2.14877,0.000767026,0.000767026,0.000767026
6,587.969,1.20191,1.54619,1.64679,0.59226,0.36315,0.42833,0.25603,1.37986,1.4354,1.98544,0.000750533,0.000750533,0.000750533
7,682.63,1.15179,1.47089,1.60649,0.47646,0.44346,0.46146,0.25904,1.35895,1.3458,1.94801,0.00073404,0.00073404,0.00073404
8,777.544,1.14581,1.44654,1.60576,0.49112,0.45699,0.46496,0.25742,1.43081,1.4121,2.03603,0.000717546,0.000717546,0.000717546
9,872.929,1.13619,1.40282,1.59447,0.63206,0.4868,0.50625,0.29239,1.33077,1.2976,1.89402,0.000701053,0.000701053,0.000701053
10,967.765,1.10955,1.35946,1.5724,0.61808,0.49627,0.52623,0.30341,1.30192,1.27716,1.88692,0.000684559,0.000684559,0.000684559
11,1063.11,1.10296,1.3302,1.56728,0.60112,0.49211,0.52741,0.31367,1.27028,1.23462,1.7964,0.000668066,0.000668066,0.000668066
12,1158.32,1.09152,1.31737,1.55353,0.58931,0.54875,0.56983,0.33859,1.29196,1.17205,1.84892,0.000651573,0.000651573,0.000651573
13,1253.75,1.07026,1.27332,1.54667,0.74179,0.54396,0.61789,0.36817,1.25388,1.16778,1.82398,0.000635079,0.000635079,0.000635079
14,1348.81,1.07542,1.26026,1.53884,0.68298,0.54344,0.60401,0.36183,1.21978,1.13966,1.78109,0.000618586,0.000618586,0.000618586
15,1443.6,1.0502,1.22331,1.52308,0.69728,0.55115,0.59366,0.35439,1.20156,1.12517,1.76383,0.000602092,0.000602092,0.000602092
16,1538.47,1.05454,1.21782,1.52419,0.64712,0.53558,0.603,0.37616,1.21054,1.09238,1.76679,0.000585599,0.000585599,0.000585599
17,1633.75,1.0392,1.19725,1.52002,0.73493,0.57707,0.64586,0.39004,1.2316,1.06593,1.7618,0.000569106,0.000569106,0.000569106
18,1729.52,1.03312,1.17841,1.51355,0.70427,0.57948,0.62362,0.38107,1.1949,1.02355,1.73805,0.000552612,0.000552612,0.000552612
19,1825.09,1.02455,1.16595,1.50729,0.6632,0.59037,0.62926,0.3824,1.19001,1.05333,1.74767,0.000536119,0.000536119,0.000536119
20,1920.07,1.02855,1.16221,1.50781,0.70592,0.58142,0.63896,0.40295,1.1602,1.00894,1.6963,0.000519625,0.000519625,0.000519625
21,2015.7,1.01185,1.12613,1.48819,0.72926,0.60165,0.66304,0.42215,1.17187,0.99026,1.68989,0.000503132,0.000503132,0.000503132
22,2111.09,1.00572,1.11793,1.48304,0.67756,0.59437,0.64175,0.40564,1.1711,1.01041,1.70481,0.000486639,0.000486639,0.000486639
23,2206.5,0.99848,1.11471,1.48352,0.70251,0.60193,0.65114,0.4164,1.17508,0.96534,1.69921,0.000470145,0.000470145,0.000470145
24,2301,0.98486,1.09408,1.46985,0.7029,0.61156,0.64934,0.4012,1.17093,0.98399,1.68608,0.000453652,0.000453652,0.000453652
25,2395.66,0.98753,1.0848,1.47026,0.7087,0.62743,0.67289,0.42105,1.13909,0.93206,1.67517,0.000437158,0.000437158,0.000437158
26,2490.05,0.98246,1.06647,1.46194,0.75251,0.61118,0.67875,0.43628,1.12665,0.93588,1.65331,0.000420665,0.000420665,0.000420665
27,2584.8,0.97586,1.05474,1.4562,0.77292,0.61589,0.67911,0.43805,1.14138,0.94641,1.65698,0.000404172,0.000404172,0.000404172
28,2904.61,0.97019,1.04849,1.45431,0.70503,0.6443,0.67872,0.42829,1.10933,0.9205,1.64638,0.000387678,0.000387678,0.000387678
29,2999.66,0.95736,1.03073,1.4439,0.69468,0.6459,0.67474,0.43329,1.11703,0.90394,1.66037,0.000371185,0.000371185,0.000371185
30,3094.4,0.96142,1.03131,1.442,0.757,0.62912,0.68149,0.4436,1.08636,0.90239,1.61485,0.000354691,0.000354691,0.000354691
31,3189.13,0.94038,1.01323,1.43065,0.76609,0.64392,0.6986,0.45464,1.09349,0.86306,1.61041,0.000338198,0.000338198,0.000338198
32,3283.4,0.94147,0.99529,1.42711,0.74611,0.65033,0.69434,0.45473,1.08594,0.86885,1.60811,0.000321705,0.000321705,0.000321705
33,3377.67,0.94048,0.99399,1.42956,0.78922,0.63464,0.70918,0.46037,1.06597,0.85236,1.59534,0.000305211,0.000305211,0.000305211
34,3472.09,0.93444,0.98084,1.42396,0.74894,0.67429,0.70829,0.46408,1.06118,0.85842,1.59071,0.000288718,0.000288718,0.000288718
35,3567.02,0.92745,0.97388,1.41547,0.75309,0.67512,0.71202,0.46541,1.0673,0.84971,1.58237,0.000272224,0.000272224,0.000272224
36,3661.28,0.91631,0.94449,1.40273,0.7755,0.64133,0.71298,0.46057,1.07234,0.85864,1.59664,0.000255731,0.000255731,0.000255731
37,3756.17,0.91961,0.94247,1.40569,0.78018,0.66331,0.71426,0.47089,1.05801,0.83081,1.58645,0.000239238,0.000239238,0.000239238
38,3850.9,0.91779,0.93621,1.40136,0.78468,0.67127,0.7219,0.4751,1.05869,0.83141,1.5785,0.000222744,0.000222744,0.000222744
39,3945.47,0.90168,0.9191,1.38954,0.80711,0.65438,0.72193,0.48065,1.05518,0.82214,1.5729,0.000206251,0.000206251,0.000206251
40,4039.62,0.89419,0.90943,1.38621,0.80743,0.65244,0.72514,0.47963,1.04108,0.80812,1.56612,0.000189757,0.000189757,0.000189757
41,4166.54,0.84248,0.71318,1.4598,0.80185,0.66498,0.72635,0.48074,1.04908,0.82145,1.57119,0.000173264,0.000173264,0.000173264
42,4261.01,0.8256,0.68127,1.44526,0.77698,0.69818,0.73178,0.48772,1.0278,0.81579,1.55,0.000156771,0.000156771,0.000156771
43,4356.07,0.80559,0.65738,1.43233,0.78593,0.67087,0.72338,0.47699,1.02669,0.8066,1.5459,0.000140277,0.000140277,0.000140277
44,4449.69,0.79323,0.64201,1.41227,0.78847,0.66358,0.72021,0.47958,1.02334,0.80416,1.54648,0.000123784,0.000123784,0.000123784
45,4543.36,0.78446,0.62719,1.40726,0.77848,0.69867,0.73625,0.48172,1.01666,0.78403,1.53869,0.00010729,0.00010729,0.00010729
46,4636.86,0.76468,0.60127,1.3852,0.77798,0.67829,0.73808,0.48954,1.0158,0.77699,1.53458,9.0797e-05,9.0797e-05,9.0797e-05
47,4730.6,0.76403,0.59094,1.38468,0.7924,0.69903,0.73286,0.4865,1.0093,0.78105,1.53354,7.43036e-05,7.43036e-05,7.43036e-05
48,4824.04,0.75706,0.58479,1.38292,0.78889,0.68555,0.73269,0.49154,1.00453,0.77583,1.5247,5.78102e-05,5.78102e-05,5.78102e-05
